no,title,phone,mobile,manager,address,email,website,group,subgroup
56,نژ ادی,34330004,9131911501,,خیابان مطهری جنب ک ۳۱,,,مشاورین املاک,خدمات ساختمان
57,۱فیار,34252950,9131935336,,خیابان انصاری,,,مشاورین املاک,خدمات ساختمان
58,آفتاب,34266410,9133912257,,ابتدای امیرکبیر روبروی کتابخانه مرتضوی,,,مشاورین املاک,خدمات ساختمان
59,ارمغان,34284074,9131915054,,خیابان امام خمینی مقابل بهداشت,,,مشاورین املاک,خدمات ساختمان
60,اریا,,9139914251,,خیابان شهید پژو,,,مشاورین املاک,خدمات ساختمان
61,ازادی,34283490,9131410509,,خیابان ازادی,,,مشاورین املاک,خدمات ساختمان
62,اسیا,34224793,9133924408,,خیابان مصطفی خمینی چهار راه شهید کاظمی روبروی بانک رفاه,,,مشاورین املاک,خدمات ساختمان
63,الغدیر,34259855,9131912197,,خیابان امام خمینی مقابل بسیج خواهران,,,مشاورین املاک,خدمات ساختمان
64,املاک سبز,34257300,9131917300,,خیابان معلم نرسیده به ازمایشگاه مرادی,,,مشاورین املاک,خدمات ساختمان
65,امیر کبیرشرقی,34259947,9132920121,,خیابان امیر کبیر شرقی جنب عکاسی مردمک,,,مشاورین املاک,خدمات ساختمان
66,امین,34325040,9136510059,,خیابان امیرکبیر غربی ک۶۸,,,مشاورین املاک,خدمات ساختمان
67,انی مسکن,34260853,9133913689,,خیابان ۱۷ شهریور شرقی نبش طالقانی,,,مشاورین املاک,خدمات ساختمان
68,اوج,34321036,9133919643,,خیابان شهید مطهری,,,مشاورین املاک,خدمات ساختمان
69,اکبری,34223891,9131917179,,خیابان مصطفی خمینی روبروی بانک صادرات,,,مشاورین املاک,خدمات ساختمان
70,ایثار,34265844,9131934358,,خیابان بسیج,,,مشاورین املاک,خدمات ساختمان
71,ایران مسکن,34321446,9131912425,,خیابان امیر کبیر غربی چهار راه شهید نوری,,,مشاورین املاک,خدمات ساختمان
72,ایمان,34323233,9133911828,,رفسنجان خیابان امیر کبیر غربی روبروی مخابرات,,,مشاورین املاک,خدمات ساختمان
73,باران,34265727,9134910775,,خیابان مدرس,,,مشاورین املاک,خدمات ساختمان
74,بسیج,34330632,9131937253,,خیابان بسیج مقابل جایگاه گاز,,,مشاورین املاک,خدمات ساختمان
75,بهار,34283120,9131913131,,رفسنجان بلوار شهید مفتح,,,مشاورین املاک,خدمات ساختمان
76,بوستان,34253345,9132903846,,شریعتی شرقی جنب ک ۲۰,,,مشاورین املاک,خدمات ساختمان
77,بیت,34225045,9139913392,,رفسنجان خیابان شهید خالویی,,,مشاورین املاک,خدمات ساختمان
78,پاسارگاد مرکزی,34264644,9131915590,,حیابان امیرکبیر شرقی جنب کوچه ۳۲,,,مشاورین املاک,خدمات ساختمان
79,پاسداران,34260382,9131914573,,خیابان پاسداران - جنب چهارراه دستغیب,,,مشاورین املاک,خدمات ساختمان
80,پانزده خرداد,34232426,9131923632,,خیابان پانده خرداد جنب کوچه ۴۶,,,مشاورین املاک,خدمات ساختمان
81,پردیس,34322989,9133935344,,بلوار خلیج فارس نبش بلوار فرهنگیان2,,,مشاورین املاک,خدمات ساختمان
82,پیغمبر زاده,,9133918707,,خیابان شهید بهشتی جنوبی,,,مشاورین املاک,خدمات ساختمان
83,پیمان,34250610,9132917491,,خیابان شریعتی شرقی جنب چهار راه پارک,,,مشاورین املاک,خدمات ساختمان
84,جام جم,34262126,9131403378,,رفسنجان خیابان شهدا جنب آژانس هواپیمایی رهاد,,,مشاورین املاک,خدمات ساختمان
85,جلوه,34322036,9132903607,,خیابان ایت الله صدر اول فضای سبز,,,مشاورین املاک,خدمات ساختمان
86,چهل ستون,34257816,9133934415,,خیابان مطهری کوچه شماره ۱,,,مشاورین املاک,خدمات ساختمان
87,حسن شاهی,34229900,9132918002,,خیابان مصطفی خمینی,,,مشاورین املاک,خدمات ساختمان
88,حسنی,34260853,9132929539,,بلوار طالقانی - نبش ۱۷ شهریور شرقی,,,مشاورین املاک,خدمات ساختمان
89,حقیقت,34331656,9131939170,,خیابان حجت از طرف مطهری حدود 80 متر به طرف مزار,,,مشاورین املاک,خدمات ساختمان
90,حلیمی,34323260,9133913074,,بلوارامام حسن نبش شهید فکوری,,,مشاورین املاک,خدمات ساختمان
91,خواجو,34232627,9132921089,,خیابان مصطفی خمینی جنب کوچه ۵۲,,,مشاورین املاک,خدمات ساختمان
92,خورشید,34324097,9132900979,,خ ابوذر نبش کوچه ۴۰,,,مشاورین املاک,خدمات ساختمان
93,دراج,34339044,9132909765,,خیابان امیر کبیر غربی,,,مشاورین املاک,خدمات ساختمان
94,رسولیان,34229230,9131917509,,خیابان مصطفی خمینی نرسیده به میدان شهید امینی بین کوچه شماره 70-72,,,مشاورین املاک,خدمات ساختمان
95,رضایی,34228482,9133910290,,رفسنجان خیابان شهید باهنر,,,مشاورین املاک,خدمات ساختمان
96,سینا,34326069,9374455642,,خیابانامیر کبیر غربی روبرو مخابرات,,,مشاورین املاک,خدمات ساختمان
97,شمس,34326977,9139925052,,رفسنجان خیابان امیرکبیر غربی جنب مخابرات,,,مشاورین املاک,خدمات ساختمان
98,شکری,34321613,9132908730,,خیابان شهید مطهری-بعد از پل فجر,,,مشاورین املاک,خدمات ساختمان
99,طباطبائی,34268249,9133915954,,خیابان خیام,,,مشاورین املاک,خدمات ساختمان
100,طباطبایی,34226020,9133904867,,خ . مصطفی خمینی,,,مشاورین املاک,خدمات ساختمان
101,طبرسی,34325898,9131930658,,خیابان امیر کبیر غربی نفش ک۸۳,,,مشاورین املاک,خدمات ساختمان
102,طلوع,34286288,9131914869,,رفسنجان بلوار شهید مفتح,,,مشاورین املاک,خدمات ساختمان
103,عادل,34251462,9132914680,,خیابان شهید بهشتی نرسیده به خیابان پاسداران,,,مشاورین املاک,خدمات ساختمان
104,عدالت هزار واحدی,34292061,9131935391,,شهرک هزار واحدی بلوار رسول اکرم,,,مشاورین املاک,خدمات ساختمان
105,عموئی,,9131913504,,عبدالله اباد,,,مشاورین املاک,خدمات ساختمان
106,غلام نژاد,34259095,9133918455,,خیابان عباسیه,,,مشاورین املاک,خدمات ساختمان
107,غلام نژاد,34257919,9131913021,,خیابان خیام,,,مشاورین املاک,خدمات ساختمان
108,غلامرضایی,34382406,9131939460,,خیابان امام خمینی,,,مشاورین املاک,خدمات ساختمان
109,فاتح نیا,34233310,9131914271,,خیابان مصطفی خمینی نفش خ شهید حسینی,,,مشاورین املاک,خدمات ساختمان
110,قاسمی,34331998,9131939280,,خیابان امیر کبیر غربی بعد از امیرکبیر 53جنب پخش رنگ جمشیدی,,,مشاورین املاک,خدمات ساختمان
111,قاعم ال محمد,,9131930053,,رفسنجان نوق جوادیه فلاح,,,مشاورین املاک,خدمات ساختمان
112,قلعه,34332714,9133936310,,خیابان مطهری,,,مشاورین املاک,خدمات ساختمان
113,محمدی رنجبر,34226816,9133917641,,رفسنجان نوق مهدی اباد نوق,,,مشاورین املاک,خدمات ساختمان
114,مرکزی غرب رفسنجان,34322931,9133918664,,خیابان امیر کبیر غربی جنب کوچه 58,,,مشاورین املاک,خدمات ساختمان
115,مشاور املاک,,9133913303,,صفائیه نوق,,,مشاورین املاک,خدمات ساختمان
116,مشاور املاک,34255134,9139937479,,خیابان امام خمینی,,,مشاورین املاک,خدمات ساختمان
117,معراج,34229505,9133913565,,بلوار شهید باهنر روبروی تالار وصال,,,مشاورین املاک,خدمات ساختمان
118,مهاجر,34326992,9131935575,,خیابان شهید میرزایی,,,مشاورین املاک,خدمات ساختمان
119,مهر,34341475,9133933471,,شهرک یادگار امام جنب نانوایی حرارتی,,,مشاورین املاک,خدمات ساختمان
120,مهر گستر,,9131915171,,خیابان مطهری نبش کوچه ۴۳,,,مشاورین املاک,خدمات ساختمان
121,میرزابیگی,34261030,9385986993,,خیابان سید جمال الدین اسد آبادی کوچه 4 پلاک3,,,مشاورین املاک,خدمات ساختمان
122,میرزایی,34375663,9139945607,,کریم اباد خیابان اصلی,,,مشاورین املاک,خدمات ساختمان
123,میلاد,34254669,9133938323,,خیابان ۱۷شهریور,,,مشاورین املاک,خدمات ساختمان
124,نوق,,9133901800,,رفسنجان نوق علی اباد علیایی جنب حسینیه,,,مشاورین املاک,خدمات ساختمان
125,هادی,34268360,9131933356,,خیابان تختی مقابل کلانتری ۱۲,,,مشاورین املاک,خدمات ساختمان
126,هاشمی,34332627,9133916018,,خیابان مطهری,,,مشاورین املاک,خدمات ساختمان
127,کامرانی,34259919,9132928114,,خیابان ۱۷ شهریور غربی نبش چهارراه امام,,,مشاورین املاک,خدمات ساختمان
128,کربلائی,34324814,9133936742,,خیابان مطهری جنب شهید مطهری ۳۹,,,مشاورین املاک,خدمات ساختمان
129,کلبه,34321878,9133920805,,خیابان امیر کبیر غربی حد فاصل چهار راه نوری کوچه۴۷,,,مشاورین املاک,خدمات ساختمان
130,کلید طلایی,34324506,9361805083,,بلوار شهید مطهری نبش کوچه ۲۰,,,مشاورین املاک,خدمات ساختمان
131,کویر,34265963,9132914467,,خیابان شریعتی غربی,,,مشاورین املاک,خدمات ساختمان
132,کیان,34254346,9131911793,,خیابان مدرس,,,مشاورین املاک,خدمات ساختمان
133,شهرقشنگ,34220751,9133912831,,رفسنجان خیابان مصطفی خمینی بعد از چهار راه شهید حسینی نبش مصطفی خمینی49,,,مشاورین املاک,خدمات ساختمان
134,صداقت,34332061,9131937585,,خیابان ایت الله,,,مشاورین املاک,خدمات ساختمان
135,يوسفي,34228099,9133937224,,خيابان كارگر جنوبي,,,مشاورین املاک,خدمات ساختمان
136,یاس,34286700,9133916970,,خیابان شهید مفتح نبش کوچه8,,,مشاورین املاک,خدمات ساختمان
137,کوروش,34254111,9139923320,,بلوار هجرت,,,مشاورین املاک,خدمات ساختمان
138,حاج حسینی,34250510,9131403891,,خیابان طالقانی جنب بانک ملت,,,مشاورین املاک,خدمات ساختمان
139,سام,,9139914298,,نوق اسماعیل اباد,,,مشاورین املاک,خدمات ساختمان
140,خلیج فارس,34320118,9132931982,,بلوار امام حسین جنب پارک,,,مشاورین املاک,خدمات ساختمان
141,تخت جمشید,34228578,9131915325,,خیابان مدرس شمالی مدرس۱۸,,,مشاورین املاک,خدمات ساختمان
142,فرهنگ,34330632,9139924954,,خیابان بسیج,,,مشاورین املاک,خدمات ساختمان
143,ثامن,34229761,9131917424,,بلوارشهیدباهنر جنب کارواش صادقی,,,مشاورین املاک,خدمات ساختمان
144,اقتصاد,34263632,9131912373,,خ کارگر جنوبی جنب ک مهدیه,,,مشاورین املاک,خدمات ساختمان
145,کریمی,34255007,9138915900,,خیابان پاسداران روبر پاسداران ۱۴,,,مشاورین املاک,خدمات ساختمان
146,گلستان,34255134,9133916552,,خیابان امیر کبیر,,,مشاورین املاک,خدمات ساختمان
147,ستاره کویر,34331277,9131914946,,خیابان حجت نبش چهارراه تامین اجتماعی,,,مشاورین املاک,خدمات ساختمان
148,رضوان,,9133915584,,رفسنجان نوق اسماعیل آباد,,,مشاورین املاک,خدمات ساختمان
149,آیدا,34222327,9121030714,,خیابان مصطفی خمینی روبروی صندوق تعاون اسلامی,,,مشاورین املاک,خدمات ساختمان
150,رکن اباد,34260549,9139911368,,خیابان عدالت,,,مشاورین املاک,خدمات ساختمان
151,انصاری,34257021,9132906782,,خیابان خیام,,,مشاورین املاک,خدمات ساختمان
152,زرنگار اریا زمین,34356158,9132902327,,خیابان امام رضا نفش کوچه ۱۶,,,مشاورین املاک,خدمات ساختمان
153,رزمندگان,34323814,9131912566,,خیابان امیر کبیر غربی شهرک شهید زینلی,,,مشاورین املاک,خدمات ساختمان
154,برج,34262115,9132906805,,خیابان عدالت کوچه شماره8,,,مشاورین املاک,خدمات ساختمان
155,هوشمند,34285725,9364216556,,سی متری بوستان مادر,,,مشاورین املاک,خدمات ساختمان
156,رفاه,34279128,9131937578,,بلوار مدرس شمالی,,,مشاورین املاک,خدمات ساختمان
157,پنج تن,,9133922643,,نوق جوادیه فلاح,,,مشاورین املاک,خدمات ساختمان
158,بمانادی,34268277,9133916557,,خیابان ثارا... جنب جنب حسینیه ثاراا...,,,مشاورین املاک,خدمات ساختمان
159,کیمراد,34268360,9139916997,,خیابان تختی روبروی کلانتری ۱۲,,,مشاورین املاک,خدمات ساختمان
160,بنی اسدی,34285151,9133916133,,خیابان امام خمینی,,,مشاورین املاک,خدمات ساختمان
161,دیار,34279104,9123530015,,بلوار مدرس شمالی,,,مشاورین املاک,خدمات ساختمان
162,زاهدی,34224900,9131917310,,خیابان مصطفی خمینی بعد از کوچه ۳۲,,,مشاورین املاک,خدمات ساختمان
163,رکنی,34260549,9139911368,,خیابان عدالت نبش کوچه شماره ۴,,,مشاورین املاک,خدمات ساختمان
164,آخوندی,34283621,9139916786,,بلوار امام رضا,,,مشاورین املاک,خدمات ساختمان
165,رسالت,34331041,9363673311,,خیابان شهید قره نی پشت دبیرستان هاون,,,مشاورین املاک,خدمات ساختمان
166,خرم,34256037,9132916551,,خیابان اذز جنوبی,,,مشاورین املاک,خدمات ساختمان
167,پارس,34287531,9133916479,,بلوار طالقانی نبش طالقانی 14,,,مشاورین املاک,خدمات ساختمان
168,بزرگ شهر,34320499,9133903452,,خیابان امیرکبیر غربی روبروی خ شهید اسدالاه میرزایی,,,مشاورین املاک,خدمات ساختمان
169,قصر رضوان,,9132926392,,نوق دهستان رضوان,,,مشاورین املاک,خدمات ساختمان
170,مهدی,34322896,9133911421,,خیابان شهید مطهری نبش کوچه ۱۲,,,مشاورین املاک,خدمات ساختمان
171,کلانتری,34255481,9131915481,,خیابان عدالت,,,مشاورین املاک,خدمات ساختمان
172,علیپور,34226814,9133919715,,بلوار شهید میرزایی کوچه ۳,,,مشاورین املاک,خدمات ساختمان
173,شفیعی,34326098,9131912943,,خیابان امیر کبیر غربی تقاطع شهیدان حسینی نبش چهار راه,,,مشاورین املاک,خدمات ساختمان
174,برادران دهقان,34262080,9133932027,,خیابان ۱۷ شهریور,,,مشاورین املاک,خدمات ساختمان
175,سرمایه,34230130,9133911965,,خیابان معراج جنوبی تقاطع شهید رجایی,,,مشاورین املاک,خدمات ساختمان
176,جهان املاک,34263316,9133916003,,خ هجرت -مقابل آتش نشانی,,,مشاورین املاک,خدمات ساختمان
177,کاشانه,34160859,9131935489,,مهدی اباد نوق,,,مشاورین املاک,خدمات ساختمان
178,سرنوشت,,9131917610,,بلوار مدرس,,,مشاورین املاک,خدمات ساختمان
179,عابدینی,34279287,9131913514,,خیابان مدرس شمالی جنب مرغ فروشی جمالی,,,مشاورین املاک,خدمات ساختمان
180,گلخواه,,9132902621,,قاسم آباد حاجی خیابان ملک اباد,,,مشاورین املاک,خدمات ساختمان
181,امیری,34283120,9132928031,,بلوار مفتح جنب مبل مظفری,,,مشاورین املاک,خدمات ساختمان
182,علیخانی,34292061,9136608330,,شهرک هزارواهدی,,,مشاورین املاک,خدمات ساختمان
183,ونک,34260657,9131912773,,بلوار مدرس شمالی,,,مشاورین املاک,خدمات ساختمان
184,صانعی,34255121,9131938516,,خیابان شریعتی شرقی چهار راه آذر,,,مشاورین املاک,خدمات ساختمان
185,پاسارگاد,34284674,9124890185,,خیابان شهید مفتح,,,مشاورین املاک,خدمات ساختمان
186,دی تودی,34230211,9137463110,,بلوار مدرس روبرو تالار عقیق,,,مشاورین املاک,خدمات ساختمان
187,مهران,34269474,9131921216,,بلوار جموری اسلامی نبش کوچه ۵۷,,,مشاورین املاک,خدمات ساختمان
188,ویلا,34281382,9133911863,,خیابان مفتح,,,مشاورین املاک,خدمات ساختمان
189,والفجر,34321582,9133910142,,خیابان کارگر,,,مشاورین املاک,خدمات ساختمان
190,سلطانی,34255134,9327114819,,رفسنجان خیابان شهید انصاری,,,مشاورین املاک,خدمات ساختمان
191,مهدی,34290030,9131932325,,روستای احمداباد رضوی شهرک شهید طالبی کوچه ۶,,,مشاورین املاک,خدمات ساختمان
192,ملت,34323434,9133913099,,خیابان شهید نوری,,,مشاورین املاک,خدمات ساختمان
193,رزانی,,9133930509,,خیابان امیر کبیر غربی جنب نانوایی کارگر,,,مشاورین املاک,خدمات ساختمان
194,ایران,34288754,9133934426,,رفسنجان بلوار امام سجاد,,,مشاورین املاک,خدمات ساختمان
195,شهر و روستا,34291144,9133906597,,اسلام اباد جنب شرکت دردانه رفسنجان,,,مشاورین املاک,خدمات ساختمان
196,راهنما,34251210,9132907066,,خیابان امام خمینی جنب کوچه ۳۷,,,مشاورین املاک,خدمات ساختمان
197,کاوه,34322457,9131937515,,بلوار مطهری ک ۳۴,,,مشاورین املاک,خدمات ساختمان
198,امیر,34260111,9131912742,,خیابان شریعتی شرقی,,,مشاورین املاک,خدمات ساختمان
199,اسدی,34283728,9133918055,,خیابان امام خمینی مقابل حسینیه ثارالله,,,مشاورین املاک,خدمات ساختمان
200,رحیم پور,34263758,9131916670,,خیابان شریعتی شرقی,,,مشاورین املاک,خدمات ساختمان
201,هما,34269093,9131936487,,خیابان معلم جنب آژانس دوستی,,,مشاورین املاک,خدمات ساختمان
202,قدس,34325811,9131913605,,شهرک واتفجر ۲ جنب مدرسه هادوی زاده,,,مشاورین املاک,خدمات ساختمان
203,فاتحی,34290555,9133916203,,رفسنجان اسلام اباد نبش کوچه جعفری ۶,,,مشاورین املاک,خدمات ساختمان
204,محمد ی,34283890,9133910797,,رفسنجان بلوار طالقانی نفش ک۱,,,مشاورین املاک,خدمات ساختمان
205,رفیعی,34392223,9133921197,,کشکوئیه خیابان شهید رجایی رجایی ۸,,,مشاورین املاک,خدمات ساختمان
206,ایران زمین,34328116,9133930503,,خیابان شهید قرنی جنوبی,,,مشاورین املاک,خدمات ساختمان
207,مجید,34229702,9131533801,,خیابان مصطفی خمینی,,,مشاورین املاک,خدمات ساختمان
208,عدالت,34390687,9133921137,,کشکوئیه بلور امام حسین (ع),,,مشاورین املاک,خدمات ساختمان
209,فتحی,34330010,9139931457,,خیابان حجت نفش دانشجو,,,مشاورین املاک,خدمات ساختمان
210,جناب آقاي رمضاني,34265271,9398321023,جناب آقای رمضانی,چهارراه شهيد قرني - نرسيده به کلانتري 11,,,کابینت,خدمات ساختمان
211,جناب آقاي ابوذر يزدان پرست,,9132917224,جناب آقای ابوذر یزدان پرست,بلوار خليج فارس - بعد از ايران خودرو گلستاني - 500 متر پايين تر,,,کابینت,خدمات ساختمان
212,جناب آقاي غله فروش,34259551,9132929343,جناب آقای غله فروش,بلوار طالقاني - طالقاني 60 - پلاک 12 (منزل ),,,کابینت,خدمات ساختمان
